Folioceros	Anthocerotaceae	genus	Folioceros
Sphaerosporoceros	Anthocerotaceae	genus	Sphaerosporoceros
Notothylas	Notothyladaceae	genus	Notothylas
Phaeoceros	Notothyladaceae	genus	Phaeoceros
Hattorioceros	Notothyladaceae	genus	Hattorioceros
Mesoceros	Notothyladaceae	genus	Mesoceros
Phymatoceros	Phymatocerotaceae	genus	Phymatoceros
Dendroceros	Dendrocerotaceae	genus	Dendroceros
Megaceros	Dendrocerotaceae	genus	Megaceros
Nothoceros	Dendrocerotaceae	genus	Nothoceros
Phaeomegaceros	Dendrocerotaceae	genus	Phaeomegaceros
Anthocerotales	Anthocerotidae	ordo	Anthocerotaceae
Marchantiophyta	Setaphyta	divisio	Liverwort
Haplomitriopsida	Marchantiophyta	classis	Haplomitriopsida
Jungermanniopsida	Marchantiophyta	classis	Jungermanniopsida
Marchantiopsida	Marchantiophyta	classis	Marchantiopsida
Treubiales	Treubiidae	ordo	Treubiaceae
Metzgeriales	Metzgeriidae	ordo	Metzgeriales
Jungermanniales	Jungermanniidae	ordo	Jungermanniales
Blasiales	Blasiidae	ordo	Blasiales
Sphaerocarpales	Marchantiidae	ordo	Sphaerocarpales
Marchantiales	Marchantiidae	ordo	Marchantiales
Gessella	Haplomitriaceae	genus	Gessella
Haplomitrium	Haplomitriaceae	genus	Haplomitrium
Haplomitriaceae	Calobryales	familia	Haplomitriaceae
Apotreubia	Treubiaceae	genus	Apotreubia
Treubia	Treubiaceae	genus	Treubia
Treubiaceae	Treubiales	familia	Treubiaceae
Acrobolbaceae	Jungermanniales	familia	Acrobolbaceae
Adelanthaceae	Lophoziales	familia	Adelanthaceae
Antheliaceae	Jungermanniales	familia	Anthelia (plant)
Arnelliaceae	Jungermanniales	familia	Arnellia
Balantiopsidaceae	Jungermanniales	familia	Balantiopsidaceae
Blepharidophyllaceae	Jungermanniales	familia	Blepharidophyllaceae
Brevianthaceae	Lepidoziales	familia	Brevianthaceae
Calypogeiaceae	Jungermanniales	familia	Calypogeiaceae
Cephaloziaceae	Lophoziales	familia	Cephaloziaceae
Cephaloziellaceae	Lophoziales	familia	Cephaloziellaceae
Frullaniaceae	Frullaniales	familia	Frullania
Geocalycaceae	Jungermanniales	familia	Geocalyx
Goebeliellaceae	Porellales	familia	Goebeliella
Grolleaceae	Lophocoleineae	familia	Grollea
Gymnomitriaceae	Jungermanniales	familia	Gymnomitriaceae
Gyrothyraceae	Jungermanniales	familia	Gyrothyra
Herbertaceae	Lophocoleineae	familia	Herbertaceae
Herzogianthaceae	Ptilidiales	familia	Herzogianthus
Jackiellaceae	Jungermanniales	familia	Jackiella
Jubulaceae	Jubulales	familia	Jubulaceae
Jungermanniaceae	Jungermanniales	familia	Jungermanniaceae
Lejeuneaceae	Lejeuneales	familia	Lejeuneaceae
Lepicoleaceae	Lepidoziales	familia	Lepicoleaceae
Lepidolaenaceae	Porellales	familia	Lepidolaenaceae
Lepidoziaceae	Lepidoziales	familia	Lepidoziaceae
Lophocoleaceae	Lepidoziales	familia	Lophocoleaceae
Myliaceae	Myliales	familia	Mylia
Neotrichocoleaceae	Ptilidiales	familia	Neotrichocoleaceae
Plagiochilaceae	Lepidoziales	familia	Plagiochilaceae
Pleuroziaceae	Pleuroziales	familia	Pleurozia
Porellaceae	Porellales	familia	Porellaceae
Pseudolepicoleaceae	Lepidoziales	familia	Pseudolepicoleaceae
Ptilidiaceae	Ptilidiales	familia	Ptilidium
Radulaceae	Radulales	familia	Radulaceae
Scapaniaceae	Lophoziales	familia	Scapaniaceae
Schistochilaceae	Perssoniellales	familia	Schistochila
Solenostomataceae	Jungermanniales	familia	Solenostomataceae
Trichocoleaceae	Lepidoziales	familia	Trichocoleaceae
Trichotemnomataceae	Jungermanniales	familia	Trichotemnoma
Allisoniaceae	Fossombroniales	familia	Allisonia
Aneuraceae	Metzgeriales	familia	Aneuraceae
Calyculariaceae	Fossombroniales	familia	Calycularia
Fossombroniaceae	Fossombroniales	familia	Fossombroniaceae
Hymenophytaceae	Pallaviciniales	familia	Hymenophyton
Makinoaceae	Fossombroniales	familia	Makinoa
Metzgeriaceae	Metzgeriales	familia	Metzgeriaceae
Moerckiaceae	Pallaviciniales	familia	Moerckiaceae
Pallaviciniaceae	Pallaviciniales	familia	Pallaviciniaceae
Pelliaceae	Pelliales	familia	Pelliaceae
Petalophyllaceae	Fossombroniales	familia	Petalophyllaceae
Phyllothalliaceae	Pallaviciniales	familia	Phyllothallia
Sandeothallaceae	Pallaviciniales	familia	Sandeothallus
Metzgeriites	Metzgeriales	genus	Metzgeriites
Sphaerocarpaceae	Sphaerocarpales	familia	Sphaerocarpaceae
Riellaceae	Sphaerocarpales	familia	Sphaerocarpales
Naiaditaceae	Naiaditales	familia	Naiadita
Blasiaceae	Blasiales	familia	Blasiaceae
Treubiitaceae	Blasiales	familia	Treubiites
Geothallus	Sphaerocarpaceae	genus	Geothallus
Sphaerocarpos	Sphaerocarpaceae	genus	Sphaerocarpos
Riella	Riellaceae	genus	Riella
Naiadita	Naiaditaceae	genus	Naiadita
Alethopteridaceae	Medullosales	familia	Alethopteridaceae
Cyclopteridaceae	Medullosales	familia	Cyclopteridaceae
Neurodontopteridaceae	Medullosales	familia	Neurodontopteridaceae
Calamopityales	Pteridospermatophyta	ordo	Calamopityaceae
Callistophytales	Lyginopteridopsida/?	ordo	Callistophytales
Pteridospermatophyta	Spermatophytes/Plantae	divisio	Pteridospermatophyta
Corystospermales	Spermatophyta	ordo	Corystospermaceae
Lyginopteridales	Lyginopteridopsida	ordo	Lyginopteridales
Medullosales	Pteridospermatophyta	ordo	Medullosales
Peltaspermales	Spermatophytes/Plantae	ordo	Peltaspermales
Glossopteris	Dictyopteridiaceae	genus	Glossopteris
Glossopteridaceae	Glossopteridales	familia	Dictyopteridiaceae
Glossopteridales	Spermatophyta	ordo	Glossopteridales
Callistophytaceae	Callistophytales	familia	Callistophytaceae
Emplectopteridaceae	Callistophytales	familia	Emplectopteridaceae
Lyginopteridopsida	Pteridospermatophyta	classis	Lyginopteridales
Blasia	Blasiaceae	genus	Blasia
Cavicularia	Blasiaceae	genus	Cavicularia
Treubiites	Treubiitaceae	genus	Treubiites
Jungermannia	Jungermanniaceae	genus	Jungermannia
Leiocolea	Jungermanniaceae	genus	Mesoptychia
Mesoptychia	Jungermanniaceae	genus	Mesoptychia
Eotrichocolea	Trichocoleaceae	genus	Eotrichocolea
Leiomitra	Trichocoleaceae	genus	Leiomitra
Trichocolea	Trichocoleaceae	genus	Trichocolea
Arctoscyphus	Solenostomataceae	genus	Arctoscyphus
Bragginsella	Lophocoleaceae	genus	Bragginsella
Cryptocolea	Southbyaceae	genus	Cryptocolea
Cryptocoleopsis	Gymnomitriaceae	genus	Cryptocoleopsis
Diplocolea	Solenostomataceae	genus	Diplocolea
Nardia	Gymnomitriaceae	genus	Nardia
Solenostoma	Solenostomataceae	genus	Solenostoma
Schistochila	Schistochilaceae	genus	Schistochila
Anastrepta	Anastrophyllaceae	genus	Anastrepta
Anastrophyllum	Anastrophyllaceae	genus	Anastrophyllum
Andrewsianthus	Lophoziaceae	genus	Andrewsianthus
Barbilophozia	Anastrophyllaceae	genus	Barbilophozia
Chaetophyllopsis	Cephaloziellaceae	genus	Chaetophyllopsis
Chandonanthus	Anastrophyllaceae	genus	Chandonanthus
Diplophyllum	Scapaniaceae	genus	Scapaniaceae
Archeophylla	Pseudolepicoleaceae	genus	Archeophylla
Ascidiota	Porellaceae	genus	Ascidiota
Douinia	Scapaniaceae	genus	Douinia
Porella	Porellaceae	genus	Porella
Blepharostoma	Blepharostomataceae	genus	Blepharostoma
Gerhildiella	Lophoziaceae	genus	Gerhildiella
Chaetocolea	Pseudolepicoleaceae	genus	Chaetocolea
Gottschelia	Cephaloziellaceae	genus	Gottschelia
Herzogiaria	Pseudolepicoleaceae	genus	Herzogiaria
Gymnocolea	Anastrophyllaceae	genus	Gymnocolea
Isophyllaria	Pseudolepicoleaceae	genus	Isophyllaria
Hattoria	Anastrophyllaceae	genus	Hattoria
Pseudolepicolea	Pseudolepicoleaceae	genus	Pseudolepicolea
Isopaches	Anastrophyllaceae	genus	Isopaches
Moringa	Moringaceae	genus	Moringa (genus)
Moringaceae	Brassicales	familia	Moringa (genus)
Notothyladales	Notothylatidae	ordo	Notothyladaceae
Dendrocerotales	Dendrocerotidae	ordo	Dendrocerotaceae
Salicaceae	Malpighiales	familia	Salicaceae
Solanum	Solaneae	genus	Solanum
Solanoideae	Solanaceae	subfamilia	Solanoideae
Solanaceae	Solanales	familia	Solanaceae
Solaneae	Solanoideae	tribus	Solaneae
Leiosporocerotales	Leiosporocerotopsida	ordo	Leiosporoceros
Phymatocerotales	Dendrocerotidae	ordo	Phymatoceros
Leiosporocerotopsida	Anthocerotophyta	classis	Leiosporoceros
Pterodon	Dipterygeae	genus	Pterodon (plant)
Dipterygeae	ADA clade	tribus	Dipterygeae
Chlorophytum	Agavoideae	genus	Chlorophytum
Asparagaceae	Asparagales	familia	Asparagaceae
Sphenophyllales	Equisetidae	ordo	Sphenophyllales
Bitelaria	Tracheophytes/Plantae	genus	Bitelaria
Tracheophyta	Polysporangiophyta	clade	Vascular plant
Drynaria	Drynarieae	genus	Drynaria
Sedeae	Sempervivoideae	tribus	Sedeae
Drynarioideae	Polypodiaceae	subfamilia	Drynarioideae
Polypodiaceae	Polypodiineae	familia	Polypodiaceae
Zingiber	Zingibereae	genus	Zingiber
Zingiberaceae	Zingiberales	familia	Zingiberaceae
Quaqua	Ceropegieae	genus	Quaqua
Ceropegieae	Asclepiadoideae	tribus	Ceropegieae
Metzgeriothallus	Metzgeriales	genus	Metzgeriothallus
Pallaviciniites	Metzgeriales	genus	Pallaviciniites
Kiggelaria	Achariaceae	genus	Kiggelaria
Achariaceae	Malpighiales	familia	Achariaceae
Bryopsidales	Ulvophyceae	ordo	Bryopsidales
Chenopodium	Atripliceae	genus	Chenopodium
Spongiophyton	Spongiophytaceae	genus	Spongiophyton
Spongiophytaceae	Plantae	familia	Spongiophytaceae
Orestovia	Plantae	genus	Orestovia
Salopella	Rhyniophytes	genus	Salopella
Hedeia	Plantae	genus	Hedeia
Tortilicaulis	Horneophytopsida/?	genus	Tortilicaulis
Horneophytopsida/?	Polysporangiophytes/Plantae	classis	Horneophytopsida
Horneophytopsida	Polysporangiophytes/Plantae	classis	Horneophytopsida
Aarabia	Incertae sedis/Tracheophytes	genus	Aarabia
Cooksonioidea	Rhyniophytes	form taxon	-
Adoketophyton	Lycophytes/?	genus	Adoketophyton
Amplectosporangium	Tracheophytes/Plantae	genus	Amplectosporangium
Bathurstia	Zosterophylls	genus	Bathurstia
