Durioneae	Helicteroideae	tribus	榴梿族
Durio	Durioneae	genus	榴梿属
Anacardiaceae	Sapindales	familia	漆树科
Anacardioideae	Anacardiaceae	subfamilia	漆树亚科
Mangifera	Anacardioideae	genus	杧果属
Nymphaeoideae	Nymphaeaceae	subfamilia	睡莲亚科
Nymphaea subg. Nymphaea	Nymphaea	subgenus	北温带睡莲亚属
Nymphaea sect. Nymphaea	Nymphaea subg. Nymphaea	sectio	白睡莲组
Nymphaea sect. Chamaenymphaea	Nymphaea subg. Nymphaea	sectio	子午睡莲组
Nymphaea subg. Brachyceras	Nymphaea	subgenus	广热带睡莲亚属
Nymphaea subg. Lotos	Nymphaea	subgenus	古热带睡莲亚属
Nymphaea sect. Xanthantha	Nymphaea subg. Nymphaea	sectio	黄睡莲组
Sabiaceae	Proteales	familia	清风藤科
Euryale	Nymphaeoideae	genus	芡属
Poaceae	Poales	familia	禾本科
Chloridoideae	PACMAD	subfamilia	虎尾草亚科
Zoysieae	Chloridoideae	tribus	结缕草族
Sporobolinae	Zoysieae	subtribus	鼠尾粟亚族
Sporobolus	Sporobolinae	genus	鼠尾粟属
Bambusoideae	BOP	subfamilia	竹
Pooideae	BOP	subfamilia	早熟禾亚科
Nepenthaceae	Caryophyllales	familia	猪笼草属
Nepenthes	Nepenthaceae	genus	猪笼草属
Eupomatiaceae	Magnoliales	familia	帽花木属
Eupomatia	Eupomatiaceae	genus	帽花木属
Annonaceae	Magnoliales	familia	番荔枝科
Calycanthaceae	Laurales	familia	蜡梅科
Siparunaceae	Laurales	familia	坛罐花科
Atherospermataceae	Laurales	familia	香皮檫科
Caytoniales	Spermatophyta	ordo	开通目
Gomortegaceae	Laurales	familia	奎乐果
Gomortega	Gomortegaceae	genus	奎乐果
Monimiaceae	Laurales	familia	玉盘桂科
Cactaceae	Cactineae	familia	-
Cactoideae	Cactaceae	subfamilia	仙人柱亞科
Lagenaria	Benincaseae	genus	葫芦属
Apodanthaceae	Cucurbitales	familia	离花科
Apodanthes	Apodanthaceae	genus	风生花属
Rosaceae	Rosales	familia	蔷薇科
Amygdaloideae	Rosaceae	subfamilia	桃亚科
Amygdaleae	Amygdaloideae	tribus	李属
Prunus	Amygdaleae	genus	李属
Maleae	Amygdaloideae	tribus	苹果族
Malus	Malinae	genus	蘋果属
Sapindaceae	Sapindales	familia	無患子科
Sapindoideae	Sapindaceae	subfamilia	无患子亚科
Nephelium	Sapindoideae	genus	韶子属
Burseraceae	Sapindales	familia	橄榄科
Oleaceae	Lamiales	familia	木樨科
Garugeae	Burseraceae	tribus	嘉榄族
Canarium	Garugeae	genus	橄榄属
Oleeae	Oleoideae	tribus	木犀榄族
Olea	Oleeae	genus	木犀榄属
Rutaceae	Sapindales	familia	芸香科
Aurantioideae	Rutaceae	subfamilia	柑橘亚科
Aurantieae	Aurantioideae	tribus	柑橘族
Citrinae	Aurantieae	subtribus	柑橘亚族
Citrus	Citrinae	genus	柑橘属
Moraceae	Rosales	familia	桑科
Artocarpeae	Moraceae	tribus	桂木族
Artocarpus	Artocarpeae	genus	桂木属
Ipomoea sect. Pharbitis	Ipomoea subg. Ipomoea	sectio	牵牛组
Ipomoea ser. Heterophyllae	Ipomoea sect. Pharbitis	series	异叶牵牛系
Elaeidinae	Cocoseae	subtribus	油棕亚族
Elaeis	Elaeidinae	genus	油棕属
Ficeae	Moraceae	tribus	榕屬
Ficus	Ficeae	genus	榕属
Ficus sect. Urostigma	Ficus subg. Urostigma	sectio	榕组
Dypsidinae	Areceae	subtribus	马岛棕亚族
Dypsis	Dypsidinae	genus	马岛棕属
Euphorbiaceae	Malpighiales	familia	大戟科
Crotonoideae	Euphorbiaceae	subfamilia	巴豆亚科
Manihoteae	Crotonoideae	tribus	木薯族
Manihot	Manihoteae	genus	木薯属
Acalyphoideae	Euphorbiaceae	subfamilia	铁苋菜亚科
Acalypheae	Acalyphoideae	tribus	铁苋菜族
Rottlerinae	Acalypheae	subtribus	野桐亚族
Macaranga	Rottlerinae	genus	血桐属
Illicium	Schisandraceae	genus	八角属
